,Unnamed: 0,type,category,review,star,token_review
436,436,아이폰12프로,만족도,"갤럭시만 쓰다가 아이폰으로 처음 써보는데 만족스럽네요
갤럭시만 쓰다가 아이폰으로 처음 써보는데 만족스럽네요",5,"['갤럭시', '만', '쓰다가', '아이폰', '으로', '처음', '써', '보는데', '만족스럽네요', '\n', '갤럭시', '만', '쓰다가', '아이폰', '으로', '처음', '써', '보는데', '만족스럽네요']"
437,437,아이폰12프로,만족도,"만족합니다. 좋습니다. ㅋ
만족합니다. 좋습니다. ㅋ",5,"['만족합니다', '좋습니다', '만족합니다', '좋습니다']"
438,438,아이폰12프로,만족도,"ㅠㅠ기다린 보람이 있어요 사진 화질 말도 안되게 너무좋아요 배송은 완쥰 칼배송!!!김사합니다 ㅎㅎ
ㅠㅠ기다린 보람이 있어요 사진 화질 말도 안되게 너무좋아요 배송은 완쥰 칼배송!!!김사합니다 ㅎㅎ",5,"['기다린', '보람', '이', '있어요', '사진', '화질', '말', '도', '안되게', '너무', '좋아요', '배송', '은', '완쥰', '칼', '배송', '김', '사합니다', '기다린', '보람', '이', '있어요', '사진', '화질', '말', '도', '안되게', '너무', '좋아요', '배송', '은', '완쥰', '칼', '배송', '김', '사합니다']"
439,439,아이폰12프로,만족도,"빠른 배송이 마음에 들었습니다 감사합니다
빠른 배송이 마음에 들었습니다 감사합니다",5,"['빠른', '배송', '이', '마음', '에', '들었습니다', '감사합니다', '\n', '빠른', '배송', '이', '마음', '에', '들었습니다', '감사합니다']"
440,440,아이폰12프로,만족도,"이뽀요 ㅎㅎ좋어요 근데 새거라 어색해요 ㅎㅎㅎ헤
이뽀요 ㅎㅎ좋어요 근데 새거라 어색해요 ㅎㅎㅎ헤",3,"['이뽀', '요', '좋어요', '근데', '새거라', '어색해요', '헤', '\n', '이뽀', '요', '좋어요', '근데', '새거라', '어색해요', '헤']"
441,441,아이폰12프로,만족도,"최고예요
감사합니다 너무 좋습니다 아이폰12프로 256기가 배송이 빨라서 좋습니다.",5,"['최고', '예요', '\n', '감사합니다', '너무', '좋습니다', '아이폰', '12', '프로', '256', '기', '가', '배송', '이', '빨', '라서', '좋습니다']"
442,442,아이폰12프로,만족도,"아주 만족스럽습니다 잘쓰겠습니다
아주 만족스럽습니다 잘쓰겠습니다",5,"['아주', '만족스럽습니다', '잘쓰겠습니다', '\n', '아주', '만족스럽습니다', '잘쓰겠습니다']"
443,443,아이폰12프로,만족도,"잠깐 위메프 디지털데이 특가 나왔을때 운좋게 샀네요. 빨리 왔고 수능본 딸네미가 원하던 색상이고 충전기가 없는건 좀 황당하네요...
잠깐 위메프 디지털데이 특가 나왔을때 운좋게 샀네요. 빨리 왔고 수능본 딸네미가 원하던 색상이고 충전기가 없는건 좀 황당하네요. 애플넘들... 디자인은 그래도 왜 사야하는지를 말해주네요 ㅋ",5,"['잠깐', '위메프', '디지털', '데이', '특', '가', '나왔을', '때', '운', '좋게', '샀네요', '빨리', '왔고', '수능', '본', '딸', '네미', '가', '원하던', '색상', '이고', '충전기', '가', '없는건', '좀', '황당하네요', '\n', '잠깐', '위메프', '디지털', '데이', '특', '가', '나왔을', '때', '운', '좋게', '샀네요', '빨리', '왔고', '수능', '본', '딸', '네미', '가', '원하던', '색상', '이고', '충전기', '가', '없는건', '좀', '황당하네요', '애플', '넘', '들', '디자인', '은', '그래도', '왜', '사야하는지를', '말', '해주네요']"
444,444,아이폰12프로,만족도,"내년에나 받아 보려나 체념하고 있다고 찾게 되어서 너무 기뻐요정직한 가격과 빠른 배송 너무 감사합니다.^^
내년에나 받아 보려나 체념하고 있다고 찾게 되어서 너무 기뻐요
정직한 가격과 빠른 배송 너무 감사합니다.^^",5,"['내년', '에나', '받아', '보려나', '체념하고', '있다고', '찾게', '되어서', '너무', '기뻐요', '정직한', '가격', '과', '빠른', '배송', '너무', '감사합니다', '\n', '내년', '에나', '받아', '보려나', '체념하고', '있다고', '찾게', '되어서', '너무', '기뻐요', '\n', '정직한', '가격', '과', '빠른', '배송', '너무', '감사합니다']"
445,445,아이폰12프로,만족도,"배송도 빠르고 너무너무 좋습니다
배송도 빠르고 너무너무 좋습니다",5,"['배송', '도', '빠르고', '너무', '너무', '좋습니다', '\n', '배송', '도', '빠르고', '너무', '너무', '좋습니다']"
446,446,아이폰12프로,만족도,"잘쓰겠습니다 감사합니다.
잘쓰겠습니다 감사합니다.",5,"['잘쓰겠습니다', '감사합니다', '\n', '잘쓰겠습니다', '감사합니다']"
447,447,아이폰12프로,만족도,"배송이 진짜 빨랐어요 정말 좋아요!
배송이 진짜 빨랐어요 정말 좋아요!",5,"['배송', '이', '진짜', '빨랐어요', '정말', '좋아요', '\n', '배송', '이', '진짜', '빨랐어요', '정말', '좋아요']"
